,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6102090,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5736375,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5670975,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4854544,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",4633871,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,Tusa,"KAROL G",4179403,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
7,"Si Veo a Tu Mamá","Bad Bunny",3988701,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
8,"Intentions (feat. Quavo)","Justin Bieber",3973365,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,Ignorantes,"Bad Bunny",3819444,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
10,"Baby Pluto","Lil Uzi Vert",3809865,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
11,"Say So","Doja Cat",3715982,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,Falling,"Trevor Daniel",3583661,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,ROXANNE,"Arizona Zervas",3508507,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,Safaera,"Bad Bunny",3214826,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
15,"Lo Mein","Lil Uzi Vert",3210391,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
16,P2,"Lil Uzi Vert",2990026,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
17,"La Santa","Bad Bunny",2988811,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
18,Circles,"Post Malone",2913948,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,"Silly Watch","Lil Uzi Vert",2881509,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
20,Vete,"Bad Bunny",2729936,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
21,Yummy,"Justin Bieber",2680306,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
22,"Roses - Imanbek Remix","SAINt JHN",2678775,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
23,"Someone You Loved","Lewis Capaldi",2676764,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"Blueberry Faygo","Lil Mosey",2555233,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
25,"Sunday Best",Surfaces,2538515,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,"Life Is Good (feat. Drake)",Future,2516930,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
27,Memories,"Maroon 5",2514097,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,"Stupid Love","Lady Gaga",2473964,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
29,Homecoming,"Lil Uzi Vert",2448141,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj
30,"Godzilla (feat. Juice WRLD)",Eminem,2385083,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,"I'm Sorry","Lil Uzi Vert",2384894,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c
32,"Yo Perreo Sola","Bad Bunny",2336442,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
33,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2300160,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
34,"Adore You","Harry Styles",2296837,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,"bad guy","Billie Eilish",2281218,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,POP,"Lil Uzi Vert",2267799,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN
37,Prices,"Lil Uzi Vert",2255776,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
38,"No Time To Die","Billie Eilish",2245474,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
39,"everything i wanted","Billie Eilish",2212221,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
40,Rojo,"J Balvin",2153528,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
41,Señorita,"Shawn Mendes",2145272,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,"RITMO (Bad Boys For Life)","Black Eyed Peas",2096066,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
43,"Celebration Station","Lil Uzi Vert",2092048,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4
44,"Sigues Con El","Dimelo Flow",2085789,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
45,Physical,"Dua Lipa",2076367,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
46,"Pero Ya No","Bad Bunny",2056691,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
47,"You Better Move","Lil Uzi Vert",2032300,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw
48,"Bigger Than Life","Lil Uzi Vert",2018038,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn
49,Morado,"J Balvin",2017278,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
50,"After Hours","The Weeknd",1984952,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
51,"You should be sad",Halsey,1984320,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
52,"Before You Go","Lewis Capaldi",1984004,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
53,"I Love Me","Demi Lovato",1896870,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
54,"That Way","Lil Uzi Vert",1891563,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
55,Venetia,"Lil Uzi Vert",1886723,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT
56,"My Oh My (feat. DaBaby)","Camila Cabello",1882268,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
57,"Chrome Heart Tags","Lil Uzi Vert",1740429,https://open.spotify.com/track/46mT9NR7N9Zf5MolcrBgE3
58,"High Fashion (feat. Mustard)","Roddy Ricch",1705744,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
59,"Hola - Remix",Dalex,1701591,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
60,"Bust Me","Lil Uzi Vert",1642763,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4
61,"Moral of the Story",Ashe,1631230,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
62,"Ride It",Regard,1629172,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
63,Diosa,"Myke Towers",1600779,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
64,Bichiyal,"Bad Bunny",1600550,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
65,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1592361,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
66,"Se Me Olvidó","Christian Nodal",1566311,https://open.spotify.com/track/5Xitt5a5uLQ1QtYdFxmi9e
67,"Lose Control",MEDUZA,1561437,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
68,"A Tu Merced","Bad Bunny",1501063,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
69,Soliá,"Bad Bunny",1490147,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
70,"I Don't Care (with Justin Bieber)","Ed Sheeran",1490039,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
71,"WHATS POPPIN","Jack Harlow",1488181,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
72,"Secure The Bag","Lil Uzi Vert",1482966,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2
73,Keii,"Anuel AA",1467231,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
74,Tattoo,"Rauw Alejandro",1462226,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
75,"hot girl bummer",blackbear,1410167,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
76,"Forever (feat. Post Malone & Clever)","Justin Bieber",1400965,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
77,Supalonely,BENEE,1395291,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
78,"Urgency (feat. Syd)","Lil Uzi Vert",1389421,https://open.spotify.com/track/5KlPy74NOEAt8jC3FYURnQ
79,25/8,"Bad Bunny",1387860,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
80,Muévelo,"Nicky Jam",1375166,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
81,"That Way - Bonus Track","Lil Uzi Vert",1365933,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
82,"Está Cabrón Ser Yo","Bad Bunny",1355810,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
83,"To Die For","Sam Smith",1325285,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
84,"10,000 Hours (with Justin Bieber)","Dan + Shay",1314491,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
85,"Hablamos Mañana","Bad Bunny",1307734,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
86,"Me Gusta",Shakira,1303535,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
87,"What A Man Gotta Do","Jonas Brothers",1303318,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
88,"CITY OF ANGELS",24kGoldn,1288980,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
89,China,"Anuel AA",1279102,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
90,Callaita,"Bad Bunny",1269118,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
91,"lovely (with Khalid)","Billie Eilish",1266664,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
92,"Que Malo","Bad Bunny",1264398,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
93,"La Zona","Bad Bunny",1258296,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
94,"Beautiful People (feat. Khalid)","Ed Sheeran",1255813,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
95,"LA CANCIÓN","J Balvin",1253899,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
96,"Ballin' (with Roddy Ricch)",Mustard,1253847,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
97,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",1249986,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
98,Suicidal,"YNW Melly",1233297,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
99,Shallow,"Lady Gaga",1232816,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
100,"HIGHEST IN THE ROOM","Travis Scott",1222071,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
101,"What If I Told You That I Love You","Ali Gatie",1209619,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
